BUKRS,BELNR,GJAHR,BLART,BLDAT,BUDAT,WAERS,XBLNR
2000,1900001150,2025,RE,2025-05-12,2025-05-16,USD,4500091228
1000,1900001151,2025,RE,2025-11-10,2025-11-12,AED,4500090647
1000,1900001152,2024,RE,2025-09-16,2025-09-17,USD,4500090823
2000,1900001153,2024,RE,2025-03-06,2025-03-09,EUR,4500090331
3000,1900001154,2024,RE,2024-09-23,2024-09-23,AED,4500090202
1000,1900001155,2024,RE,2025-07-04,2025-07-08,USD,4500091140
1000,1900001156,2024,RE,2025-07-03,2025-07-08,AED,4500091645
1000,1900001157,2025,RE,2024-09-15,2024-09-18,EUR,4500090733
2000,1900001158,2024,RE,2024-03-29,2024-03-29,AED,4500091829
3000,1900001159,2025,RE,2025-07-26,2025-07-28,AED,4500091313
3000,1900001160,2025,RE,2024-06-13,2024-06-16,EUR,4500091704
2000,1900001161,2025,RE,2024-02-02,2024-02-02,EUR,4500090008
2000,1900001162,2025,RE,2025-02-03,2025-02-08,EUR,4500090844
1000,1900001163,2025,RE,2024-02-07,2024-02-11,EUR,4500090583
1000,1900001164,2024,RE,2025-02-05,2025-02-07,USD,4500091223
1000,1900001165,2025,RE,2024-09-11,2024-09-11,USD,4500090695
1000,1900001166,2025,RE,2025-05-17,2025-05-22,AED,4500090266
3000,1900001167,2025,RE,2024-07-04,2024-07-09,USD,4500091866
1000,1900001168,2025,RE,2024-07-21,2024-07-21,USD,4500091405
2000,1900001169,2025,RE,2025-01-17,2025-01-20,AED,4500090843
3000,1900001170,2025,RE,2025-11-26,2025-12-01,AED,4500090121
3000,1900001171,2024,RE,2024-09-15,2024-09-15,AED,4500090190
2000,1900001172,2024,RE,2025-04-14,2025-04-17,EUR,4500090552
3000,1900001173,2025,RE,2024-11-09,2024-11-14,EUR,4500091704
1000,1900001174,2025,RE,2024-12-30,2024-12-30,EUR,4500091379
1000,1900001175,2024,RE,2024-09-26,2024-09-26,EUR,4500091820
2000,1900001176,2025,RE,2024-12-26,2024-12-27,EUR,4500090765
2000,1900001177,2025,RE,2025-07-28,2025-07-31,AED,4500090735
1000,1900001178,2025,RE,2025-11-20,2025-11-22,USD,4500090533
2000,1900001179,2025,RE,2024-06-17,2024-06-18,USD,4500091510
3000,1900001180,2024,RE,2025-11-05,2025-11-06,AED,4500091492
1000,1900001181,2024,RE,2025-10-20,2025-10-22,USD,4500091443
3000,1900001182,2025,RE,2025-06-21,2025-06-24,USD,4500090706
1000,1900001183,2025,RE,2025-04-28,2025-05-01,AED,4500090604
1000,1900001184,2025,RE,2024-06-02,2024-06-07,EUR,4500091870
3000,1900001185,2025,RE,2024-01-11,2024-01-14,USD,4500090210
3000,1900001186,2025,RE,2025-03-28,2025-04-01,EUR,4500090065
2000,1900001187,2025,RE,2024-03-08,2024-03-11,EUR,4500091185
3000,1900001188,2024,RE,2024-12-30,2025-01-03,USD,4500091029
3000,1900001189,2025,RE,2024-03-14,2024-03-14,USD,4500090582
3000,1900001190,2025,RE,2025-06-25,2025-06-30,EUR,4500091570
3000,1900001191,2024,RE,2024-04-29,2024-05-04,USD,4500091827
2000,1900001192,2024,RE,2024-02-27,2024-03-03,AED,4500091882
2000,1900001193,2025,RE,2024-08-09,2024-08-09,AED,4500090848
3000,1900001194,2025,RE,2024-09-01,2024-09-03,USD,4500091249
2000,1900001195,2024,RE,2025-04-28,2025-04-29,EUR,4500091268
1000,1900001196,2024,RE,2025-10-14,2025-10-14,AED,4500091071
1000,1900001197,2024,RE,2025-11-06,2025-11-10,AED,4500091305
3000,1900001198,2025,RE,2025-08-20,2025-08-21,EUR,4500091996
1000,1900001199,2024,RE,2024-01-29,2024-02-01,USD,4500090998
1000,1900001200,2024,RE,2025-11-15,2025-11-16,USD,4500091910
1000,1900001201,2024,RE,2025-04-08,2025-04-09,AED,4500090266
1000,1900001202,2024,RE,2025-05-07,2025-05-11,USD,4500091512
2000,1900001203,2025,RE,2025-05-25,2025-05-28,EUR,4500091237
1000,1900001204,2025,RE,2025-03-21,2025-03-22,EUR,4500091270
2000,1900001205,2024,RE,2025-11-26,2025-11-30,EUR,4500090567
2000,1900001206,2024,RE,2025-08-05,2025-08-06,EUR,4500091872
1000,1900001207,2024,RE,2024-12-26,2024-12-26,USD,4500090206
1000,1900001208,2025,RE,2025-04-02,2025-04-06,EUR,4500090986
3000,1900001209,2024,RE,2024-08-17,2024-08-18,USD,4500091316
1000,1900001210,2025,RE,2024-08-21,2024-08-21,USD,4500091175
3000,1900001211,2024,RE,2025-01-27,2025-01-27,AED,4500091673
1000,1900001212,2024,RE,2024-02-21,2024-02-22,AED,4500090777
1000,1900001213,2024,RE,2025-05-25,2025-05-29,EUR,4500091609
2000,1900001214,2025,RE,2025-04-20,2025-04-20,EUR,4500091372
3000,1900001215,2025,RE,2025-10-29,2025-10-29,AED,4500090465
2000,1900001216,2025,RE,2024-12-04,2024-12-05,EUR,4500091257
3000,1900001217,2025,RE,2025-04-23,2025-04-28,USD,4500090349
2000,1900001218,2025,RE,2025-01-29,2025-01-30,AED,4500090587
1000,1900001219,2024,RE,2024-12-22,2024-12-23,EUR,4500090398
2000,1900001220,2024,RE,2025-11-03,2025-11-03,EUR,4500091007
3000,1900001221,2025,RE,2024-11-02,2024-11-04,AED,4500090635
1000,1900001222,2025,RE,2025-01-19,2025-01-24,EUR,4500091215
1000,1900001223,2024,RE,2024-07-26,2024-07-30,EUR,4500091296
1000,1900001224,2025,RE,2024-03-17,2024-03-19,AED,4500090914
3000,1900001225,2024,RE,2025-03-31,2025-03-31,USD,4500090678
2000,1900001226,2024,RE,2025-10-23,2025-10-23,EUR,4500090319
3000,1900001227,2024,RE,2024-01-20,2024-01-23,EUR,4500090889
3000,1900001228,2025,RE,2025-02-28,2025-03-03,AED,4500091697
1000,1900001229,2024,RE,2025-04-15,2025-04-20,AED,4500091650
1000,1900001230,2024,RE,2024-10-03,2024-10-04,EUR,4500091474
3000,1900001231,2025,RE,2025-02-05,2025-02-10,EUR,4500090002
1000,1900001232,2024,RE,2025-10-19,2025-10-22,AED,4500090758
1000,1900001233,2025,RE,2025-05-06,2025-05-08,AED,4500091204
1000,1900001234,2025,RE,2025-09-21,2025-09-21,EUR,4500090887
3000,1900001235,2024,RE,2024-10-31,2024-11-03,AED,4500090499
2000,1900001236,2024,RE,2024-01-24,2024-01-27,AED,4500091439
2000,1900001237,2025,RE,2025-04-18,2025-04-19,AED,4500091740
2000,1900001238,2025,RE,2024-10-30,2024-10-31,EUR,4500091589
1000,1900001239,2025,RE,2025-10-12,2025-10-15,USD,4500091452
2000,1900001240,2024,RE,2024-02-27,2024-03-01,AED,4500090228
2000,1900001241,2024,RE,2024-02-25,2024-02-26,EUR,4500090249
2000,1900001242,2024,RE,2024-05-01,2024-05-01,USD,4500091180
3000,1900001243,2024,RE,2024-07-26,2024-07-26,USD,4500091246
2000,1900001244,2025,RE,2025-09-28,2025-10-01,AED,4500090066
2000,1900001245,2024,RE,2024-06-01,2024-06-02,USD,4500091694
3000,1900001246,2025,RE,2025-05-16,2025-05-20,USD,4500091050
1000,1900001247,2025,RE,2024-06-05,2024-06-07,AED,4500091041
1000,1900001248,2024,RE,2025-12-04,2025-12-07,USD,4500091517
3000,1900001249,2025,RE,2024-08-27,2024-08-27,AED,4500090383
2000,1900001250,2024,RE,2025-05-14,2025-05-16,USD,4500091841
2000,1900001251,2025,RE,2024-08-09,2024-08-12,AED,4500091744
2000,1900001252,2025,RE,2025-01-26,2025-01-29,USD,4500090134
3000,1900001253,2025,RE,2025-07-01,2025-07-02,EUR,4500090036
1000,1900001254,2025,RE,2024-05-01,2024-05-06,USD,4500091921
2000,1900001255,2025,RE,2025-11-17,2025-11-22,AED,4500090114
2000,1900001256,2025,RE,2025-02-22,2025-02-27,EUR,4500090765
3000,1900001257,2025,RE,2025-09-17,2025-09-17,EUR,4500090241
2000,1900001258,2025,RE,2024-01-24,2024-01-24,USD,4500090780
2000,1900001259,2025,RE,2024-10-15,2024-10-19,USD,4500090885
1000,1900001260,2025,RE,2024-08-16,2024-08-20,AED,4500090201
3000,1900001261,2025,RE,2025-12-21,2025-12-26,EUR,4500091156
2000,1900001262,2025,RE,2025-09-02,2025-09-02,EUR,4500091617
2000,1900001263,2024,RE,2025-06-19,2025-06-19,AED,4500091311
3000,1900001264,2025,RE,2025-03-12,2025-03-17,AED,4500090878
1000,1900001265,2024,RE,2025-09-15,2025-09-17,AED,4500091402
2000,1900001266,2025,RE,2024-01-31,2024-02-02,EUR,4500090102
1000,1900001267,2024,RE,2025-11-25,2025-11-25,AED,4500090314
1000,1900001268,2024,RE,2024-10-18,2024-10-18,EUR,4500091437
3000,1900001269,2024,RE,2025-06-16,2025-06-19,AED,4500090748
3000,1900001270,2024,RE,2024-06-04,2024-06-09,USD,4500091246
2000,1900001271,2024,RE,2024-04-12,2024-04-16,USD,4500090858
3000,1900001272,2024,RE,2025-01-06,2025-01-06,EUR,4500091909
1000,1900001273,2025,RE,2025-02-17,2025-02-18,USD,4500090279
3000,1900001274,2025,RE,2025-05-12,2025-05-17,EUR,4500090907
1000,1900001275,2024,RE,2025-11-26,2025-11-27,USD,4500091182
2000,1900001276,2024,RE,2024-07-22,2024-07-27,EUR,4500091518
1000,1900001277,2025,RE,2024-01-05,2024-01-05,EUR,4500090493
2000,1900001278,2025,RE,2024-04-12,2024-04-17,AED,4500090830
3000,1900001279,2025,RE,2025-01-06,2025-01-08,USD,4500091275
1000,1900001280,2024,RE,2025-05-31,2025-06-01,EUR,4500090963
2000,1900001281,2025,RE,2024-11-23,2024-11-24,AED,4500090654
1000,1900001282,2024,RE,2024-05-28,2024-05-28,USD,4500090480
3000,1900001283,2025,RE,2024-06-18,2024-06-22,EUR,4500090667
2000,1900001284,2024,RE,2025-03-06,2025-03-11,EUR,4500090765
2000,1900001285,2025,RE,2024-11-08,2024-11-12,EUR,4500090090
2000,1900001286,2025,RE,2024-06-12,2024-06-16,USD,4500091757
2000,1900001287,2025,RE,2025-08-13,2025-08-14,AED,4500090902
3000,1900001288,2025,RE,2025-10-07,2025-10-12,AED,4500091795
3000,1900001289,2024,RE,2024-03-02,2024-03-04,AED,4500090779
2000,1900001290,2024,RE,2024-07-26,2024-07-31,USD,4500090856
1000,1900001291,2024,RE,2024-03-27,2024-03-29,AED,4500091739
2000,1900001292,2024,RE,2024-08-08,2024-08-10,AED,4500091530
1000,1900001293,2025,RE,2025-01-23,2025-01-28,AED,4500090976
1000,1900001294,2024,RE,2024-08-30,2024-09-02,USD,4500091507
2000,1900001295,2024,RE,2025-12-07,2025-12-09,EUR,4500091075
1000,1900001296,2025,RE,2024-06-29,2024-07-04,USD,4500091512
3000,1900001297,2025,RE,2025-04-08,2025-04-13,EUR,4500091640
2000,1900001298,2025,RE,2024-12-06,2024-12-06,EUR,4500090552
2000,1900001299,2025,RE,2024-06-05,2024-06-05,USD,4500090316
3000,1900001300,2024,RE,2024-09-19,2024-09-24,EUR,4500091580
3000,1900001301,2025,RE,2025-04-03,2025-04-03,USD,4500090429
2000,1900001302,2025,RE,2025-08-06,2025-08-10,AED,4500091875
1000,1900001303,2024,RE,2025-01-28,2025-02-02,EUR,4500090696
2000,1900001304,2024,RE,2025-01-25,2025-01-26,AED,4500091262
1000,1900001305,2025,RE,2025-05-11,2025-05-15,AED,4500090626
1000,1900001306,2024,RE,2024-07-14,2024-07-19,AED,4500090502
1000,1900001307,2024,RE,2025-10-03,2025-10-03,USD,4500091869
2000,1900001308,2024,RE,2024-06-21,2024-06-25,EUR,4500090287
1000,1900001309,2025,RE,2025-06-15,2025-06-18,AED,4500091821
2000,1900001310,2024,RE,2025-09-02,2025-09-07,AED,4500090942
3000,1900001311,2025,RE,2025-02-27,2025-03-03,EUR,4500090500
1000,1900001312,2025,RE,2024-10-05,2024-10-06,AED,4500090534
2000,1900001313,2024,RE,2025-12-28,2025-12-31,USD,4500090355
1000,1900001314,2025,RE,2024-03-15,2024-03-20,EUR,4500091600
3000,1900001315,2024,RE,2025-06-08,2025-06-10,EUR,4500091640
3000,1900001316,2025,RE,2024-12-03,2024-12-06,EUR,4500091167
3000,1900001317,2024,RE,2024-02-03,2024-02-03,AED,4500091137
3000,1900001318,2024,RE,2024-04-03,2024-04-08,AED,4500090947
2000,1900001319,2025,RE,2024-12-31,2025-01-04,EUR,4500090326
2000,1900001320,2024,RE,2025-12-03,2025-12-04,USD,4500090444
2000,1900001321,2024,RE,2024-01-18,2024-01-20,USD,4500090232
2000,1900001322,2025,RE,2025-06-22,2025-06-26,EUR,4500091011
2000,1900001323,2024,RE,2024-01-25,2024-01-27,AED,4500090049
2000,1900001324,2025,RE,2024-04-01,2024-04-05,AED,4500090342
3000,1900001325,2024,RE,2024-02-13,2024-02-13,EUR,4500090461
1000,1900001326,2024,RE,2024-08-18,2024-08-21,EUR,4500091551
3000,1900001327,2025,RE,2024-03-17,2024-03-18,USD,4500091112
2000,1900001328,2025,RE,2025-07-27,2025-07-27,AED,4500091741
2000,1900001329,2025,RE,2024-10-10,2024-10-13,AED,4500091772
3000,1900001330,2024,RE,2025-04-21,2025-04-24,AED,4500091671
2000,1900001331,2024,RE,2025-12-31,2026-01-04,AED,4500090746
2000,1900001332,2025,RE,2024-12-25,2024-12-26,EUR,4500091412
3000,1900001333,2025,RE,2025-12-28,2025-12-29,AED,4500090229
3000,1900001334,2024,RE,2025-08-13,2025-08-15,USD,4500090073
3000,1900001335,2025,RE,2025-01-06,2025-01-11,AED,4500090072
3000,1900001336,2024,RE,2024-05-08,2024-05-08,EUR,4500090423
3000,1900001337,2025,RE,2025-05-04,2025-05-06,USD,4500090600
1000,1900001338,2024,RE,2024-08-30,2024-09-03,AED,4500090849
2000,1900001339,2025,RE,2025-05-07,2025-05-09,EUR,4500091957
1000,1900001340,2025,RE,2024-01-29,2024-02-02,EUR,4500090039
2000,1900001341,2024,RE,2025-12-31,2026-01-02,EUR,4500090738
3000,1900001342,2024,RE,2024-01-06,2024-01-06,USD,4500090548
1000,1900001343,2025,RE,2025-06-07,2025-06-12,USD,4500091776
2000,1900001344,2025,RE,2025-10-20,2025-10-21,USD,4500091761
2000,1900001345,2024,RE,2024-04-07,2024-04-10,USD,4500090437
2000,1900001346,2025,RE,2024-01-08,2024-01-11,AED,4500091121
2000,1900001347,2024,RE,2025-04-12,2025-04-14,EUR,4500091568
2000,1900001348,2025,RE,2025-04-29,2025-05-04,AED,4500091668
2000,1900001349,2025,RE,2025-10-25,2025-10-26,EUR,4500090192
1000,1900001350,2025,RE,2025-11-21,2025-11-24,USD,4500090401
2000,1900001351,2024,RE,2024-01-04,2024-01-06,EUR,4500090020
3000,1900001352,2024,RE,2024-08-20,2024-08-23,EUR,4500091822
1000,1900001353,2024,RE,2024-10-29,2024-10-29,EUR,4500090999
1000,1900001354,2025,RE,2025-03-24,2025-03-26,USD,4500091405
1000,1900001355,2025,RE,2024-12-29,2024-12-29,EUR,4500090744
3000,1900001356,2025,RE,2024-01-19,2024-01-22,AED,4500091286
1000,1900001357,2024,RE,2024-09-17,2024-09-18,EUR,4500091994
2000,1900001358,2025,RE,2024-02-08,2024-02-12,USD,4500090845
3000,1900001359,2024,RE,2025-06-18,2025-06-18,AED,4500090662
2000,1900001360,2024,RE,2024-07-21,2024-07-24,EUR,4500090084
3000,1900001361,2025,RE,2024-01-14,2024-01-15,AED,4500090121
2000,1900001362,2025,RE,2025-11-07,2025-11-12,USD,4500091859
3000,1900001363,2024,RE,2024-07-10,2024-07-14,AED,4500090921
2000,1900001364,2024,RE,2025-11-26,2025-11-26,EUR,4500091007
2000,1900001365,2024,RE,2025-07-16,2025-07-18,EUR,4500091257
3000,1900001366,2024,RE,2025-09-17,2025-09-22,USD,4500091256
2000,1900001367,2025,RE,2025-07-10,2025-07-11,AED,4500091558
3000,1900001368,2024,RE,2024-03-03,2024-03-06,USD,4500091950
2000,1900001369,2025,RE,2025-05-06,2025-05-09,AED,4500091713
2000,1900001370,2024,RE,2024-02-18,2024-02-22,AED,4500090347
2000,1900001371,2025,RE,2025-08-10,2025-08-14,USD,4500090507
2000,1900001372,2024,RE,2024-01-09,2024-01-10,USD,4500091053
1000,1900001373,2025,RE,2024-06-05,2024-06-07,AED,4500090488
2000,1900001374,2025,RE,2025-11-19,2025-11-24,AED,4500090380
1000,1900001375,2025,RE,2025-07-30,2025-08-03,AED,4500091561
1000,1900001376,2024,RE,2025-09-11,2025-09-11,EUR,4500091753
2000,1900001377,2024,RE,2024-08-12,2024-08-12,AED,4500091988
3000,1900001378,2025,RE,2024-10-23,2024-10-23,EUR,4500091151
2000,1900001379,2024,RE,2024-05-25,2024-05-30,EUR,4500091621
3000,1900001380,2024,RE,2024-01-14,2024-01-17,AED,4500091504
1000,1900001381,2024,RE,2024-11-09,2024-11-11,USD,4500090993
1000,1900001382,2025,RE,2024-04-29,2024-05-01,USD,4500091210
3000,1900001383,2025,RE,2024-11-08,2024-11-09,AED,4500090424
3000,1900001384,2024,RE,2025-09-14,2025-09-16,EUR,4500090846
3000,1900001385,2025,RE,2024-08-20,2024-08-21,AED,4500090368
1000,1900001386,2024,RE,2024-02-13,2024-02-14,EUR,4500091941
1000,1900001387,2024,RE,2024-11-24,2024-11-29,EUR,4500090668
2000,1900001388,2025,RE,2024-11-11,2024-11-12,EUR,4500090128
3000,1900001389,2025,RE,2025-06-03,2025-06-06,EUR,4500091944
2000,1900001390,2025,RE,2025-10-04,2025-10-04,USD,4500090068
2000,1900001391,2024,RE,2024-08-31,2024-09-03,USD,4500091394
1000,1900001392,2025,RE,2024-03-09,2024-03-10,AED,4500090510
3000,1900001393,2024,RE,2024-12-18,2024-12-23,EUR,4500090588
3000,1900001394,2025,RE,2025-02-27,2025-02-27,AED,4500091535
1000,1900001395,2025,RE,2024-06-23,2024-06-23,AED,4500090781
1000,1900001396,2025,RE,2024-08-22,2024-08-27,EUR,4500090986
3000,1900001397,2024,RE,2025-03-03,2025-03-05,USD,4500091908
1000,1900001398,2024,RE,2025-02-09,2025-02-13,EUR,4500091335
2000,1900001399,2024,RE,2024-01-20,2024-01-20,AED,4500090473
1000,1900001400,2024,RE,2024-05-07,2024-05-09,AED,4500091123
3000,1900001401,2024,RE,2025-03-19,2025-03-19,EUR,4500090828
2000,1900001402,2025,RE,2024-02-08,2024-02-13,USD,4500091040
3000,1900001403,2025,RE,2025-07-23,2025-07-27,AED,4500091651
3000,1900001404,2025,RE,2024-02-04,2024-02-08,USD,4500090537
1000,1900001405,2024,RE,2024-07-18,2024-07-23,EUR,4500090160
1000,1900001406,2024,RE,2024-06-04,2024-06-08,USD,4500091865
1000,1900001407,2024,RE,2024-08-22,2024-08-22,USD,4500090695
1000,1900001408,2024,RE,2024-03-23,2024-03-26,EUR,4500091162
1000,1900001409,2025,RE,2025-02-20,2025-02-24,AED,4500090404
1000,1900001410,2025,RE,2025-10-26,2025-10-27,EUR,4500091896
2000,1900001411,2025,RE,2025-07-25,2025-07-25,AED,4500091658
2000,1900001412,2025,RE,2025-07-01,2025-07-02,USD,4500090747
3000,1900001413,2024,RE,2025-02-21,2025-02-21,AED,4500090814
1000,1900001414,2025,RE,2025-04-29,2025-05-03,AED,4500090148
2000,1900001415,2024,RE,2024-01-15,2024-01-18,AED,4500091009
1000,1900001416,2024,RE,2024-12-12,2024-12-17,EUR,4500091042
1000,1900001417,2024,RE,2025-06-27,2025-07-01,EUR,4500091099
1000,1900001418,2025,RE,2025-08-03,2025-08-04,EUR,4500090673
1000,1900001419,2024,RE,2025-06-13,2025-06-13,USD,4500091612
1000,1900001420,2025,RE,2025-03-07,2025-03-11,AED,4500090501
2000,1900001421,2024,RE,2025-10-09,2025-10-11,AED,4500090087
3000,1900001422,2025,RE,2025-11-19,2025-11-20,EUR,4500090884
3000,1900001423,2025,RE,2024-03-07,2024-03-12,EUR,4500091020
2000,1900001424,2025,RE,2024-03-20,2024-03-21,EUR,4500090567
1000,1900001425,2024,RE,2024-06-11,2024-06-11,EUR,4500090896
2000,1900001426,2024,RE,2025-04-02,2025-04-04,EUR,4500090262
2000,1900001427,2025,RE,2025-07-23,2025-07-26,USD,4500091115
2000,1900001428,2024,RE,2025-02-21,2025-02-21,EUR,4500091633
2000,1900001429,2024,RE,2024-09-02,2024-09-05,AED,4500091311
1000,1900001430,2025,RE,2024-10-25,2024-10-25,AED,4500090736
3000,1900001431,2025,RE,2025-02-18,2025-02-23,EUR,4500091962
3000,1900001432,2025,RE,2025-06-03,2025-06-05,USD,4500090852
1000,1900001433,2025,RE,2025-06-21,2025-06-23,EUR,4500090986
3000,1900001434,2024,RE,2024-03-16,2024-03-20,EUR,4500091034
3000,1900001435,2024,RE,2025-07-08,2025-07-12,USD,4500090900
2000,1900001436,2024,RE,2024-10-02,2024-10-04,AED,4500090076
3000,1900001437,2025,RE,2024-06-08,2024-06-08,USD,4500091016
3000,1900001438,2025,RE,2025-07-22,2025-07-26,USD,4500091616
1000,1900001439,2024,RE,2025-02-24,2025-02-25,AED,4500091971
3000,1900001440,2025,RE,2024-02-01,2024-02-03,EUR,4500091708
1000,1900001441,2025,RE,2025-07-16,2025-07-16,AED,4500090895
1000,1900001442,2025,RE,2024-04-14,2024-04-18,EUR,4500090031
1000,1900001443,2025,RE,2025-05-29,2025-05-30,AED,4500091736
3000,1900001444,2024,RE,2024-11-07,2024-11-07,AED,4500090481
1000,1900001445,2024,RE,2024-02-13,2024-02-13,USD,4500090371
2000,1900001446,2024,RE,2024-11-04,2024-11-08,USD,4500090747
2000,1900001447,2025,RE,2025-05-22,2025-05-27,USD,4500091403
3000,1900001448,2024,RE,2024-12-11,2024-12-13,AED,4500090807
3000,1900001449,2025,RE,2024-01-07,2024-01-07,AED,4500090104
3000,1900001450,2025,RE,2025-11-21,2025-11-21,AED,4500091799
2000,1900001451,2024,RE,2024-01-22,2024-01-27,AED,4500090902
3000,1900001452,2025,RE,2025-12-20,2025-12-24,AED,4500090771
3000,1900001453,2025,RE,2025-01-31,2025-02-04,EUR,4500090471
2000,1900001454,2025,RE,2024-09-26,2024-09-29,AED,4500091734
1000,1900001455,2025,RE,2025-03-03,2025-03-03,AED,4500091586
2000,1900001456,2024,RE,2025-10-06,2025-10-08,AED,4500091119
2000,1900001457,2025,RE,2025-07-13,2025-07-18,AED,4500090772
1000,1900001458,2025,RE,2025-06-13,2025-06-17,EUR,4500090954
3000,1900001459,2024,RE,2024-08-16,2024-08-18,EUR,4500090395
1000,1900001460,2025,RE,2025-02-03,2025-02-03,USD,4500090282
2000,1900001461,2024,RE,2025-11-01,2025-11-06,USD,4500091773
2000,1900001462,2025,RE,2024-10-25,2024-10-27,USD,4500091230
1000,1900001463,2024,RE,2025-12-31,2026-01-02,AED,4500091620
2000,1900001464,2024,RE,2025-02-14,2025-02-17,USD,4500090973
3000,1900001465,2024,RE,2025-01-25,2025-01-30,USD,4500091922
3000,1900001466,2024,RE,2025-12-15,2025-12-15,AED,4500091997
3000,1900001467,2024,RE,2025-05-12,2025-05-15,AED,4500090202
2000,1900001468,2025,RE,2025-12-10,2025-12-15,USD,4500091647
3000,1900001469,2025,RE,2025-01-27,2025-01-30,AED,4500090555
2000,1900001470,2024,RE,2025-04-07,2025-04-11,USD,4500090965
3000,1900001471,2024,RE,2024-01-25,2024-01-26,EUR,4500090685
2000,1900001472,2025,RE,2025-06-25,2025-06-26,EUR,4500090416
2000,1900001473,2024,RE,2025-11-22,2025-11-25,EUR,4500091957
1000,1900001474,2024,RE,2025-06-02,2025-06-06,AED,4500091066
2000,1900001475,2024,RE,2025-03-10,2025-03-11,EUR,4500091568
3000,1900001476,2025,RE,2024-09-02,2024-09-04,USD,4500090250
1000,1900001477,2024,RE,2024-10-25,2024-10-27,EUR,4500091406
1000,1900001478,2024,RE,2024-11-03,2024-11-05,USD,4500090927
2000,1900001479,2024,RE,2025-09-08,2025-09-10,AED,4500090843
2000,1900001480,2024,RE,2024-02-26,2024-02-29,USD,4500090973
3000,1900001481,2024,RE,2024-09-15,2024-09-18,USD,4500091251
2000,1900001482,2025,RE,2024-02-01,2024-02-02,USD,4500090344
3000,1900001483,2025,RE,2025-01-16,2025-01-20,EUR,4500091146
2000,1900001484,2024,RE,2025-08-12,2025-08-17,USD,4500090060
3000,1900001485,2024,RE,2025-04-07,2025-04-11,AED,4500090660
2000,1900001486,2025,RE,2025-02-07,2025-02-08,USD,4500091583
3000,1900001487,2024,RE,2025-02-20,2025-02-23,AED,4500091062
1000,1900001488,2025,RE,2024-08-19,2024-08-23,EUR,4500090826
1000,1900001489,2025,RE,2024-05-25,2024-05-30,EUR,4500090021
1000,1900001490,2024,RE,2025-09-16,2025-09-18,AED,4500090862
2000,1900001491,2024,RE,2024-11-16,2024-11-17,EUR,4500090926
3000,1900001492,2024,RE,2025-07-30,2025-08-04,AED,4500091673
3000,1900001493,2024,RE,2024-06-23,2024-06-23,EUR,4500091336
3000,1900001494,2025,RE,2024-09-12,2024-09-14,EUR,4500091769
1000,1900001495,2024,RE,2025-11-21,2025-11-25,USD,4500091878
3000,1900001496,2024,RE,2024-01-27,2024-01-29,USD,4500091758
3000,1900001497,2024,RE,2024-03-22,2024-03-26,EUR,4500091226
2000,1900001498,2025,RE,2024-05-16,2024-05-18,EUR,4500091608
3000,1900001499,2024,RE,2025-04-12,2025-04-14,USD,4500091900
2000,1900001500,2024,RE,2025-03-03,2025-03-03,AED,4500090946
1000,1900001501,2025,RE,2025-08-07,2025-08-12,EUR,4500091667
3000,1900001502,2024,RE,2025-09-22,2025-09-24,AED,4500091697
3000,1900001503,2024,RE,2024-11-24,2024-11-27,USD,4500090548
1000,1900001504,2025,RE,2025-01-07,2025-01-07,AED,4500091810
2000,1900001505,2024,RE,2024-11-10,2024-11-10,USD,4500090437
3000,1900001506,2024,RE,2025-02-21,2025-02-23,EUR,4500091368
3000,1900001507,2025,RE,2025-01-05,2025-01-07,AED,4500090756
2000,1900001508,2025,RE,2025-07-08,2025-07-10,EUR,4500090451
1000,1900001509,2024,RE,2024-02-23,2024-02-23,USD,4500090533
1000,1900001510,2025,RE,2025-09-08,2025-09-08,AED,4500091444
1000,1900001511,2025,RE,2025-10-17,2025-10-19,USD,4500090695
2000,1900001512,2025,RE,2025-06-29,2025-07-04,EUR,4500090256
1000,1900001513,2025,RE,2024-03-27,2024-03-28,EUR,4500091420
2000,1900001514,2024,RE,2024-03-15,2024-03-16,AED,4500091628
3000,1900001515,2025,RE,2025-09-25,2025-09-25,AED,4500090948
1000,1900001516,2025,RE,2024-05-21,2024-05-26,EUR,4500091431
2000,1900001517,2025,RE,2024-03-20,2024-03-21,USD,4500090855
3000,1900001518,2025,RE,2024-12-23,2024-12-27,USD,4500090196
1000,1900001519,2025,RE,2024-08-25,2024-08-25,AED,4500090488
1000,1900001520,2025,RE,2025-09-02,2025-09-04,USD,4500090466
1000,1900001521,2025,RE,2024-09-17,2024-09-22,USD,4500090033
3000,1900001522,2025,RE,2024-02-18,2024-02-21,EUR,4500090220
3000,1900001523,2024,RE,2024-01-28,2024-01-28,AED,4500091401
1000,1900001524,2024,RE,2025-09-29,2025-09-30,EUR,4500091936
3000,1900001525,2024,RE,2025-12-27,2025-12-29,EUR,4500091395
1000,1900001526,2025,RE,2025-09-13,2025-09-16,EUR,4500091818
2000,1900001527,2024,RE,2024-08-22,2024-08-26,USD,4500091416
3000,1900001528,2024,RE,2025-11-29,2025-12-01,EUR,4500090146
1000,1900001529,2024,RE,2025-03-26,2025-03-30,EUR,4500091560
2000,1900001530,2024,RE,2025-06-05,2025-06-06,EUR,4500090987
3000,1900001531,2025,RE,2025-03-18,2025-03-20,USD,4500091148
2000,1900001532,2025,RE,2025-12-09,2025-12-14,AED,4500091548
