MBLNR,MJAHR,BLDAT,BUDAT
5000001904,2025,2024-07-25,2024-07-26
5000001905,2025,2025-12-02,2025-12-05
5000001906,2025,2025-06-21,2025-06-24
5000001907,2024,2025-11-28,2025-12-01
5000001908,2025,2024-05-14,2024-05-16
5000001909,2025,2025-02-03,2025-02-05
5000001910,2024,2024-09-23,2024-09-26
5000001911,2024,2025-08-16,2025-08-16
5000001912,2024,2024-03-16,2024-03-17
5000001913,2025,2025-04-01,2025-04-04
5000001914,2025,2024-03-07,2024-03-07
5000001915,2025,2025-12-19,2025-12-19
5000001916,2024,2024-06-29,2024-06-30
5000001917,2024,2025-01-09,2025-01-09
5000001918,2024,2025-07-27,2025-07-28
5000001919,2024,2025-08-09,2025-08-11
5000001920,2025,2024-02-13,2024-02-15
5000001921,2024,2024-04-23,2024-04-26
5000001922,2024,2024-07-08,2024-07-09
5000001923,2025,2025-12-28,2025-12-30
5000001924,2025,2025-07-03,2025-07-03
5000001925,2025,2025-02-05,2025-02-08
5000001926,2024,2025-05-06,2025-05-08
5000001927,2025,2024-10-09,2024-10-12
5000001928,2025,2024-10-03,2024-10-06
5000001929,2025,2024-09-28,2024-10-01
5000001930,2024,2024-01-05,2024-01-08
5000001931,2024,2025-02-06,2025-02-06
5000001932,2025,2025-09-21,2025-09-21
5000001933,2024,2024-01-09,2024-01-09
5000001934,2025,2024-10-22,2024-10-22
5000001935,2025,2025-01-04,2025-01-05
5000001936,2024,2025-08-23,2025-08-24
5000001937,2025,2024-02-16,2024-02-16
5000001938,2024,2024-08-17,2024-08-20
5000001939,2025,2024-10-07,2024-10-08
5000001940,2024,2024-09-10,2024-09-11
5000001941,2024,2025-12-03,2025-12-04
5000001942,2024,2025-05-25,2025-05-27
5000001943,2025,2025-06-11,2025-06-11
5000001944,2024,2024-08-19,2024-08-21
5000001945,2025,2024-09-25,2024-09-25
5000001946,2024,2025-06-30,2025-07-02
5000001947,2025,2025-08-31,2025-09-02
5000001948,2024,2025-03-14,2025-03-15
5000001949,2024,2025-05-11,2025-05-13
5000001950,2024,2025-08-31,2025-09-01
5000001951,2024,2024-05-28,2024-05-31
5000001952,2025,2024-02-05,2024-02-07
5000001953,2025,2024-08-16,2024-08-17
5000001954,2024,2024-05-05,2024-05-06
5000001955,2024,2024-08-26,2024-08-29
5000001956,2024,2024-03-26,2024-03-29
5000001957,2025,2024-02-10,2024-02-13
5000001958,2025,2025-02-27,2025-03-01
5000001959,2025,2025-08-12,2025-08-13
5000001960,2025,2024-07-31,2024-08-01
5000001961,2024,2025-02-01,2025-02-03
5000001962,2025,2024-11-26,2024-11-27
5000001963,2025,2025-09-15,2025-09-15
5000001964,2025,2024-04-23,2024-04-23
5000001965,2025,2024-12-07,2024-12-08
5000001966,2024,2024-06-03,2024-06-06
5000001967,2025,2025-06-24,2025-06-26
5000001968,2025,2024-08-05,2024-08-06
5000001969,2025,2024-10-05,2024-10-06
5000001970,2024,2025-07-26,2025-07-27
5000001971,2024,2025-02-28,2025-02-28
5000001972,2025,2025-08-18,2025-08-21
5000001973,2025,2024-12-08,2024-12-09
5000001974,2024,2024-08-07,2024-08-10
5000001975,2025,2024-12-20,2024-12-20
5000001976,2024,2025-11-09,2025-11-11
5000001977,2025,2024-08-07,2024-08-10
5000001978,2024,2025-12-29,2026-01-01
5000001979,2024,2024-06-04,2024-06-06
5000001980,2024,2024-02-03,2024-02-03
5000001981,2024,2025-08-05,2025-08-07
5000001982,2025,2024-05-19,2024-05-20
5000001983,2024,2024-03-18,2024-03-18
5000001984,2025,2025-01-06,2025-01-09
5000001985,2025,2024-06-03,2024-06-05
5000001986,2024,2025-07-08,2025-07-10
5000001987,2025,2025-12-15,2025-12-15
5000001988,2024,2025-03-18,2025-03-18
5000001989,2024,2025-07-26,2025-07-28
5000001990,2025,2025-12-31,2026-01-03
5000001991,2025,2025-07-18,2025-07-20
5000001992,2025,2025-10-15,2025-10-15
5000001993,2025,2025-02-24,2025-02-26
5000001994,2025,2024-06-24,2024-06-24
5000001995,2025,2025-01-05,2025-01-06
5000001996,2024,2025-01-10,2025-01-11
5000001997,2024,2025-05-21,2025-05-24
5000001998,2024,2025-05-12,2025-05-15
5000001999,2025,2024-11-12,2024-11-12
